id,nome,area,pop2011
"1",I - SAN NICOLA,815125.800650641205721,"5667"
"2",II - MURAT,1463167.932754594366997,"21115"
"3",III - MADONNELLA,503783.474222141725477,"10259"
"4",IV - LIBERTA,1728359.618829930899665,"35841"
"5",V - JAPIGIA,15627563.350708808749914,"29870"
"17",XVII - TORRE A MARE,5117090.348814829252660,"5108"
"8",VIII - PICONE,14850561.506701150909066,"39116"
"10",X  - MARCONI - SAN GIROLAMO - FESCA,5256128.527567743323743,"15524"
"13",XIII - SANTO SPIRITO,8296281.344872731715441,"13941"
"12",XII - PALESE - MACCHIE,9896021.478098463267088,"13980"
"14",XIV - CARBONARA DI BARI,13422549.211636262014508,"22632"
"16",XVI - LOSETO,6159002.860049384646118,"4380"
"15",XV - CEGLIE DEL CAMPO,6788640.618601140566170,"10414"
"6",VI - SAN PASQUALE,4061361.919137858320028,"19587"
"7",VII - CARRASSI,3050551.522896136157215,"33902"
"9",IX - STANIC,10552066.605152403935790,"3555"
"11",XI - SAN PAOLO,9107721.478241495788097,"31674"
